Row Labels,Sum of inst_num,Sum of time,Sum of plan_cpu,Average of plan_cpu,Sum of plan_mem,Average of plan_mem
J1_11,2,139,100,50,0.4,0.2
J1_11_12,35,48,100,100,0.59,0.59
J1_13_16,5,4,100,100,0.59,0.59
J1_2,2,7,200,100,1.18,0.59
J1_2_3,5,2047,250,83.33333333,1.48,0.493333333
J1_2_3_4,15,29,100,100,0.59,0.59
J1_2_5,7,19,100,100,0.59,0.59
J1_2_8,11,635,500,55.55555556,2.19,0.243333333
J1_3,41,83,650,92.85714286,3.74,0.534285714
J1_3_27_30,2,407,100,50,0.4,0.2
J1_3_4,74,715,500,83.33333333,2.76,0.46
J1_3_4_7,91,202,100,100,0.59,0.59
J1_3_5,1,596,50,50,0.2,0.2
J1_3_6,78,30,200,100,1.18,0.59
J1_3_8,137,21,100,100,0.64,0.64
J1_4,7,178,150,75,0.79,0.395
J1_4_15,31,16,100,100,0.59,0.59
J1_4_23,1,71,100,100,0.59,0.59
J1_4_5,2238,489,550,68.75,3.15,0.39375
J1_4_9,137,15,100,100,0.64,0.64
J1_5_6,1,3,50,50,0.2,0.2
J1_5_7,14,97,700,50,2.8,0.2
J1_5_9,9,271,50,50,0.39,0.39
J1_6_10,2,53,100,100,0.59,0.59
J1_6_19,3997,1929,200,50,1.56,0.39
J1_6_8,5,29,250,50,1,0.2
J1_7,1,10,50,50,0.2,0.2
J1_7_11,2,59,100,100,0.59,0.59
J1_7_16,2,172,150,75,0.79,0.395
J1_7_8_14,3,47,50,50,0.3,0.3
J1_8_9,3,1,100,100,0.59,0.59
J1_9,5,278,50,50,0.49,0.49
J1_9_12,5,3,100,100,0.59,0.59
J1_9_15,1120,534,150,75,0.98,0.49
J10_1,5,160,50,50,0.2,0.2
J10_1_2,13,76,100,100,0.49,0.49
J10_1_2_3_4_5_6_7_8_9,451,351,200,66.66666667,1.08,0.36
J10_1_2_3_4_5_6_7_9,11,414,500,55.55555556,2.19,0.243333333
J10_1_2_3_4_9,1111,172,100,100,0.59,0.59
J10_1_2_5_9,5,4,100,100,0.59,0.59
J10_1_2_6_8_9,37,3245,50,50,0.39,0.39
J10_1_2_7_9,1,13,50,50,0.2,0.2
J10_1_2_9,6840,2551,2300,85.18518519,15.1,0.559259259
J10_1_3_4_9,139,85,100,100,0.49,0.49
J10_1_3_5_9,1,60,100,100,0.59,0.59
J10_1_4_9,1111,36,100,100,0.59,0.59
J10_1_5_7_8_9,14,131,100,100,0.59,0.59
J10_1_5_9,109,7,100,100,0.59,0.59
J10_1_6_9,2,239,100,50,0.5,0.25
J10_1_7,1,9,50,50,0.2,0.2
J10_1_7_9,970,432,200,100,1.08,0.54
J10_1_8_9,9,14,100,100,0.49,0.49
J10_1_9,3762,5749,1700,70.83333333,9.81,0.40875
J10_16,2,652,100,50,0.6,0.3
J10_16_24,2,227,150,75,0.79,0.395
J10_2_3_4_5_6_7_8_9,51,163,50,50,0.39,0.39
J10_2_3_4_9,17,3,100,100,0.59,0.59
J10_2_3_7_9,25,16,100,100,0.49,0.49
J10_2_3_9,346,581,550,91.66666667,3.34,0.556666667
J10_2_4_5_6_9,8,1276,200,50,0.9,0.225
J10_2_4_5_9,170,302,800,100,4.42,0.5525
J10_2_4_6_7_9,560,403,150,75,0.88,0.44
J10_2_4_6_8_9,239,213,50,50,0.39,0.39
J10_2_4_6_9,607,601,50,50,0.59,0.59
J10_2_4_7_8_9,1,16,50,50,0.2,0.2
J10_2_4_9,19,162,250,83.33333333,1.38,0.46
J10_2_5_6_9,53,26,100,100,0.59,0.59
J10_2_5_7_8_9,907,604,50,50,0.39,0.39
J10_2_5_7_9,5,2,100,100,0.59,0.59
J10_2_5_8_9,5,24,100,100,0.49,0.49
J10_2_6_8_9,237,10,100,100,0.59,0.59
J10_2_6_9,1,111,50,50,0.2,0.2
J10_2_7_9,3,69,50,50,0.2,0.2
J10_2_9,4789,19292,1300,76.47058824,7.39,0.434705882
J10_3_4_5_9,338,166,150,75,0.98,0.49
